nombre,edad,ciudad,departamento,salario,fecha_ingreso,activo
gabriela,20,cusco,ventas,5706,2018-04-05,si
rosa,20,puno,legal,2624,2024-07-02,si
andres,20,lima,tecnologia,9479,2024-01-18,si
alberto,59,puno,legal,8073,2018-08-19,no
elena,18,moquegua,finanzas,8124,2020-05-05,si
victor,39,cusco,marketing,7424,2016-06-28,no
ricardo,34,moquegua,ventas,8727,2023-02-13,si
daniela,36,ayacucho,atencion_cliente,7125,2024-04-23,si
lucia,60,lima,recursos_humanos,2507,2018-02-13,no
miguel,58,ayacucho,operaciones,3864,2020-06-07,no
alberto,61,cajamarca,marketing,4003,2023-12-08,si
miguel,42,trujillo,legal,4798,2025-06-27,si
jose,20,moquegua,operaciones,7772,2019-02-07,no
carlos,59,ica,soporte,8717,2017-05-05,si
claudia,53,chiclayo,recursos_humanos,8219,2024-07-12,si
fernanda,50,ica,marketing,1971,2016-03-21,si
elena,61,tacna,atencion_cliente,2240,2021-07-20,no
paola,34,chiclayo,ventas,3076,2025-09-25,no
victor,59,tumbes,marketing,6008,2021-03-15,si
claudia,64,trujillo,legal,4127,2023-02-28,no
raul,58,chiclayo,atencion_cliente,4458,2017-06-25,si
daniela,51,piura,atencion_cliente,6510,2022-01-04,no
hugo,37,lima,ventas,5146,2024-02-03,no
raul,22,moquegua,legal,3260,2017-11-16,si
pedro,51,ayacucho,atencion_cliente,8132,2018-09-25,si
alberto,37,tacna,operaciones,8377,2023-08-04,si
jose,22,tumbes,ventas,4970,2024-04-01,si
alberto,58,piura,tecnologia,2304,2015-06-03,si
pedro,60,ica,tecnologia,3367,2024-10-16,si
elena,48,moquegua,soporte,4319,2016-02-22,no
monica,45,tacna,logistica,2087,2025-11-21,si
lucia,43,puno,operaciones,2990,2018-04-07,no
fernanda,45,arequipa,recursos_humanos,8779,2018-02-15,si
lucia,59,chiclayo,ventas,2728,2018-03-14,no
luis,31,ayacucho,soporte,2160,2017-07-01,no
pedro,47,trujillo,soporte,9173,2017-04-10,si
lucia,55,puno,legal,2198,2020-01-02,no
paola,51,arequipa,ventas,2512,2017-02-20,si
rosa,33,tacna,marketing,5233,2024-10-02,si
maria,60,huancayo,atencion_cliente,6383,2019-04-22,no
jose,34,tacna,finanzas,6115,2022-06-25,si
ana,47,huancayo,atencion_cliente,2838,2016-09-07,no
fernanda,40,cusco,tecnologia,7254,2019-03-15,no
ricardo,59,chiclayo,ventas,6105,2025-02-05,no
juan,24,puno,legal,3746,2019-05-20,si
alberto,39,lima,recursos_humanos,9480,2022-05-28,si
andres,58,tacna,recursos_humanos,1922,2015-06-25,si
gabriela,34,arequipa,logistica,8207,2023-01-04,si
hugo,62,arequipa,legal,1790,2020-10-18,si
maria,26,piura,recursos_humanos,7174,2015-06-07,si
rosa,24,tumbes,legal,7858,2024-12-05,si
patricia,28,moquegua,finanzas,7955,2015-03-24,no
elena,44,moquegua,tecnologia,5571,2017-12-04,no
patricia,20,ayacucho,logistica,4844,2018-08-12,no
raul,32,lima,ventas,4364,2021-06-09,si
victor,35,tumbes,legal,7748,2025-09-11,si
juan,34,arequipa,atencion_cliente,5549,2015-02-20,no
monica,64,moquegua,operaciones,8349,2024-09-04,no
hugo,54,lima,recursos_humanos,1927,2021-01-17,si
monica,45,cusco,operaciones,6343,2025-02-24,no
paola,37,cajamarca,soporte,6544,2021-12-10,si
carlos,44,cajamarca,soporte,4051,2024-10-10,no
daniela,18,trujillo,recursos_humanos,4643,2021-10-20,no
miguel,46,ica,tecnologia,8952,2017-11-03,no
paola,60,cajamarca,atencion_cliente,6691,2016-04-22,no
jose,30,arequipa,ventas,1957,2018-08-20,si
miguel,44,cajamarca,atencion_cliente,4385,2021-08-13,si
fernanda,59,puno,ventas,2946,2021-04-06,no
lucia,53,lima,marketing,8678,2017-08-22,no
victor,46,huancayo,legal,8191,2023-08-06,no
miguel,34,moquegua,tecnologia,5743,2023-08-21,si
